,Norwegian
214,eneste
215,sted
216,under
217,klar
218,heter
219,fant
220,barn
221,blitt
222,fint
223,penger
224,hallo
225,mor
226,én
227,visst
228,slutt
229,borte
230,prøver
231,rundt
232,redd
233,gud
234,holde
235,drar
236,tro
237,bilen
238,beste
239,snart
240,bør
241,like
242,husker
243,veien
244,skjedde
245,hver
246,venn
247,drepe
248,døde
249,høre
250,bort
251,fått
252,hører
253,tatt
254,hos
255,annet
256,verden
257,våre
258,finner
259,fortelle
260,først
261,stor
262,flere
263,faren
264,inne
265,heller
266,gjerne
267,måtte
268,glad
269,neste
270,liv
271,sikkert
272,sikker
273,ga
274,gjennom
275,mannen
276,tiden
277,betyr
278,annen
279,lei
280,vekk
281,lkke
282,lenger
283,fem
284,hørte
285,hatt
286,store
287,sagt
288,nye
289,unna
290,menn
291,liten
292,alene
293,fortsatt
294,flott
295,skjønner
296,håper
297,derfor
298,snakket
299,ny
300,klart
301,pengene
302,føler
303,dø
304,gamle
305,mr
306,dager
307,jævla
308,kjære
309,minutter
310,tenkte
311,venner
312,sitt
313,ennå
314,ganger
315,jobb
316,byen
317,a
318,natt
319,venter
320,langt
321,hjemme
322,klarer
323,politiet
324,gutt
325,ellers
326,fire
327,nesten
328,huset
329,lille
330,jobber
331,jobben
332,grunn
333,navn
334,hverandre
335,fort
336,dagen
337,hørt
338,dit
339,orden
340,ett
341,stille
342,dollar
343,tenk
344,ferdig
345,be
346,bak
347,faktisk
348,herfra
349,synes
350,hyggelig
351,vårt
352,par
353,dårlig
354,begge
355,ei
356,hodet
357,engang
358,drepte
359,nettopp
360,sine
361,mens
362,drept
363,slå
364,senere
365,møte
366,virker
367,gode
368,ganske
369,begynner
370,måte
371,funnet
372,ønsker
373,galt
374,stedet
375,vise
376,ringer
377,moren
378,tenker
379,ti
380,slags
381,prøve
382,gammel
383,familien
384,vanskelig
385,fortell
386,klare
387,hvilken
388,allerede
389,gått
390,rolig
391,sånt
392,bor
393,spør
394,skyld
395,tenke
396,tenkt
397,jente
398,slipp
399,pokker
400,kvinne
401,ligger
402,ba
403,helst
404,del
405,fin
406,stopp
407,kommet
408,øyeblikk
409,ord
410,mistet
411,kaptein
412,riktig
413,sønn
414,bruke
415,viktig
416,stå
417,egen
418,mellom
419,syns
420,stemmer
421,pa
422,uansett
423,lett
424,dør
425,vente
426,mi
427,sitter
428,all
429,spise
430,jack
431,spørsmål
432,mennesker
433,ber
434,timer
435,saken
436,treffe
437,velkommen
438,spiller
439,legg
440,prøvde
441,slapp
442,nytt
443,fortalte
444,jenta
445,fyr
446,setter
447,ringe
448,dro
449,mat
450,gutten
451,høres
452,tak
453,sette
454,di
455,best
456,fyren
457,ses
458,seks
459,full
460,leve
461,kjeft
462,kone
463,tom
464,egentlig
465,skje
466,satt
467,oppe
468,nede
469,redde
470,åpne
471,gutter
472,enda
473,problemer
474,lang
475,bryr
476,utrolig
477,bruker
478,mulig
479,imot
480,hus
481,fins
482,fram
483,videre
484,navnet
485,problem
486,selvfølgelig
487,sent
488,skjedd
489,utenfor
490,holdt
491,selvsagt
492,lever
493,spørre
494,ring
495,glem
496,john
497,fremdeles
498,jobbet
499,kjøre
500,spille
501,herr
502,pass
503,fantastisk
504,dreper
505,tusen
506,hater
507,hente
508,ro
509,finnes
510,kjører
511,kaller
512,new
513,forsiktig
514,ringte
515,gal
516,begynte
517,lar
518,vann
519,stort
520,s
521,kona
522,plass
523,fred
524,rommet
525,mindre
526,gangen
527,mest
528,løp
529,øynene
530,tur
531,barna
532,sjanse
533,fast
534,lage
535,skolen
536,uke
537,hjelper
538,resten
539,kvinner
540,jobbe
541,lite
542,prøv
543,hvert
544,fly
545,kjent
546,driver
547,familie
548,snakk
549,side
550,foran
551,lover
552,måneder
553,vennen
554,handler
555,bil
556,våpen
557,miss
558,landet
559,fri
560,ønske
561,l
562,an
563,straks
564,ekte
565,bror
566,the
567,vondt
568,rom
569,kjøpe
570,sannheten
571,sam
572,sønnen
573,laget
574,dritt
575,legge
576,gitt
577,time
578,tidlig
579,lære
580,jøss
581,gift
582,stund
583,sove
584,unge
585,svært
586,hendene
587,passer
588,broren
589,idé
590,mente
591,frank
592,kjente
593,betale
594,vis
595,perfekt
596,altså
597,fortsett
598,lager
599,begynne
600,ventet
601,lov
602,morsomt
603,lyst
604,lykke
605,rart
606,valg
607,kjærlighet
608,uker
609,sitte
610,tide
611,damer
612,telefonen
613,føles
614,finn
615,likevel
616,gjelder
617,blod
618,middag
619,spiser
620,dum
621,tidligere
622,svar
623,herrer
624,ille
625,viser
626,skrive
627,reise
628,kjør
629,sist
630,jenter
631,forteller
632,sender
633,hånd
634,idiot
635,verre
636,synd
637,hardt
638,sint
639,likte
640,stoppe
641,måten
642,gifte
643,klarte
644,slutte
645,aner
646,leter
647,små
648,slo
649,historie
650,nær
651,bruk
652,fengsel
653,fall
654,vakker
655,millioner
656,sex
657,sendte
658,syk
659,herre
660,land
661,kaffe
662,skyte
663,elsket
664,fortalt
665,michael
666,spurte
667,ben
668,forstå
669,york
670,drikke
671,nummer
672,sak
673,bo
674,charlie
675,følge
676,skikkelig
677,slår
678,farlig
679,gratulerer
680,pris
681,masse
682,legger
683,venstre
684,lese
685,sende
686,henter
687,høyre
688,flink
689,live
690,reddet
691,fare
692,hent
693,datter
694,ung
695,problemet
696,krigen
697,følger
698,brukte
699,klokka
700,prate
701,åtte
702,døren
703,ærlig
704,foregår
705,frem
706,ofte
707,lurer
708,slipper
709,traff
710,døra
711,rette
712,gøy
713,skutt
714,fortsette
715,større
716,betaler
717,kun
718,ansiktet
719,svarte
720,husk
721,skjøt
722,avtale
723,lot
724,barnet
725,doktor
726,trengte
727,sto
728,farvel
729,jaså
730,stikker
731,krig
732,beskytte
733,skyt
734,råd
735,kvelden
736,natten
737,bekymret
738,hjertet
739,kort
740,peter
741,eget
742,slippe
743,by
744,endelig
745,forklare
746,egne
747,stikke
748,okay
749,tjeneste
750,slåss
751,skrev
752,verdt
753,nødt
754,vant
755,hvite
756,beskjed
757,enkelt
758,spill
759,absolutt
760,største
761,vinner
762,høyt
763,ønsket
764,sover
765,kastet
766,mike
767,sjef
768,skyter
769,kontakt
770,huske
771,lå
772,dame
773,særlig
774,klokken
775,skynd
776,antar
777,annerledes
778,rør
779,tii
780,falt
781,sjekk
782,skade
783,umulig
784,david
785,flytte
786,glemte
787,datteren
788,vare
789,født
790,stole
791,mister
792,sjefen
793,drittsekk
794,vannet
795,harry
796,føle
797,dessverre
798,sjekke
799,historien
800,sendt
801,spesielt
802,kontoret
803,stolt
804,forhold
805,stikk
806,tv
807,noensinne
808,kompis
809,søster
810,drink
811,passe
812,vinne
813,opptatt
814,steder
815,skatt
816,skadet
817,skriver
818,lykkelig
819,george
820,foreldrene
821,kamp
822,sekunder
823,menneske
824,alvorlig
825,skylder
826,svart
827,vanlig
828,verdens
829,onkel
830,skipet
831,rolle
832,dyr
833,person
834,bord
835,skål
836,ordre
837,raskt
838,tuller
839,øl
840,kjørte
841,joe
842,overalt
843,hånden
844,søt
845,følg
846,døden
847,flyet
848,forelsket
849,ødelegge
850,bilde
851,smart
852,kult
853,fest
854,kjæresten
855,lurte
856,plan
857,send
858,stoler
859,arbeid
860,plutselig
861,ordne
862,ødelagt
863,baby
864,pent
865,glemt
866,bill
867,kl
868,tingene
869,sju
870,ni
871,vennene
872,ma
873,forstått
874,guds
875,selge
876,interessert
877,merkelig
878,leder
879,nydelig
880,kjøpte
881,lukk
882,brukt
883,lærer
884,møtt
885,slikt
886,iblant
887,kutt
888,sterk
889,fortsetter
890,midt
891,james
892,bevis
893,minste
894,lys
895,skaffe
896,miste
897,satte
898,forbi
899,prøvd
900,n
901,forlate
902,savner
903,kaste
904,meter
905,elske
906,åh
907,ligge
908,hvilket
909,ære
910,president
911,sjansen
912,glemme
913,deler
914,hjerte
915,sulten
916,kvinnen
917,interessant
918,planen
919,mennene
920,dumt
921,hender
922,kroppen
923,general
924,eier
925,mrs
926,øye
927,jentene
928,øyne
929,lyver
930,ryggen
931,snu
932,kalle
933,enig
934,dumme
935,lngen
936,lik
937,sov
938,ræva
939,drikker
940,personlig
941,sprø
942,etterpå
943,verste
944,usa
945,fortjener
946,tilgi
947,paul
948,maten
949,sykehuset
950,film
951,nyheter
952,lagt
953,kontroll
954,fru
955,lukter
956,løs
957,fine
958,filmen
959,arbeidet
960,pen
961,reiser
962,mary
963,flyttet
964,stakkars
965,innen
966,jim
967,blant
968,lag
969,trekk
970,folkens
971,levende
972,frue
973,sluttet
974,lege
975,slike
976,danny
977,hund
978,savnet
979,fanget
980,alex
981,bildet
982,het
983,bilder
984,unnskyldning
985,fleste
986,lærte
987,kaster
988,moro
989,halv
990,fungerer
991,søsteren
992,håret
993,syntes
994,stjal
995,skrevet
996,morges
997,slutter
998,agent
999,høy
